file,emotion,intensity,statement,actor
1086_DFA_FEA_XX.wav,fearful,unspecified,Don't forget a jacket,1086
1062_IOM_SAD_XX.wav,sad,unspecified,I'm on my way to the meeting,1062
1012_IWW_HAP_XX.wav,happy,unspecified,I wonder what this is about,1012
1014_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1014
1019_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1019
1074_DFA_FEA_XX.wav,fearful,unspecified,Don't forget a jacket,1074
1047_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1047
1090_ITH_HAP_XX.wav,happy,unspecified,I think I have a doctor's appointment,1090
1089_DFA_HAP_XX.wav,happy,unspecified,Don't forget a jacket,1089
1012_ITS_HAP_XX.wav,happy,unspecified,I think I've seen this before,1012
1049_TIE_NEU_XX.wav,neutral,unspecified,That is exactly what happened,1049
1087_DFA_SAD_XX.wav,sad,unspecified,Don't forget a jacket,1087
1056_DFA_SAD_XX.wav,sad,unspecified,Don't forget a jacket,1056
1054_TIE_FEA_XX.wav,fearful,unspecified,That is exactly what happened,1054
1015_TIE_SAD_XX.wav,sad,unspecified,That is exactly what happened,1015
1004_ITS_DIS_XX.wav,disgust,unspecified,I think I've seen this before,1004
1058_TSI_ANG_XX.wav,anger,unspecified,The surface is slick,1058
1020_TAI_SAD_XX.wav,sad,unspecified,The airplane is almost full,1020
1055_MTI_FEA_XX.wav,fearful,unspecified,Maybe tomorrow it will be cold,1055
1059_IEO_FEA_HI.wav,fearful,high,It's eleven o'clock,1059
1070_MTI_HAP_XX.wav,happy,unspecified,Maybe tomorrow it will be cold,1070
1079_ITS_FEA_XX.wav,fearful,unspecified,I think I've seen this before,1079
1076_WSI_HAP_XX.wav,happy,unspecified,We'll stop in a couple of minutes,1076
1088_IWW_ANG_XX.wav,anger,unspecified,I wonder what this is about,1088
1033_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1033
1016_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1016
1014_ITH_DIS_XX.wav,disgust,unspecified,I think I have a doctor's appointment,1014
1022_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1022
1017_IOM_HAP_XX.wav,happy,unspecified,I'm on my way to the meeting,1017
1054_IEO_DIS_HI.wav,disgust,high,It's eleven o'clock,1054
1011_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1011
1012_IOM_SAD_XX.wav,sad,unspecified,I'm on my way to the meeting,1012
1052_WSI_FEA_XX.wav,fearful,unspecified,We'll stop in a couple of minutes,1052
1039_ITH_NEU_XX.wav,neutral,unspecified,I think I have a doctor's appointment,1039
1047_MTI_HAP_XX.wav,happy,unspecified,Maybe tomorrow it will be cold,1047
1031_WSI_FEA_XX.wav,fearful,unspecified,We'll stop in a couple of minutes,1031
1006_ITS_NEU_XX.wav,neutral,unspecified,I think I've seen this before,1006
1074_WSI_SAD_XX.wav,sad,unspecified,We'll stop in a couple of minutes,1074
1032_IWW_NEU_XX.wav,neutral,unspecified,I wonder what this is about,1032
1079_DFA_DIS_XX.wav,disgust,unspecified,Don't forget a jacket,1079
1027_ITH_DIS_XX.wav,disgust,unspecified,I think I have a doctor's appointment,1027
1071_DFA_NEU_XX.wav,neutral,unspecified,Don't forget a jacket,1071
1039_IOM_HAP_XX.wav,happy,unspecified,I'm on my way to the meeting,1039
1071_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1071
1047_TIE_SAD_XX.wav,sad,unspecified,That is exactly what happened,1047
1065_IEO_NEU_XX.wav,neutral,unspecified,It's eleven o'clock,1065
1008_DFA_ANG_XX.wav,anger,unspecified,Don't forget a jacket,1008
1053_WSI_HAP_XX.wav,happy,unspecified,We'll stop in a couple of minutes,1053
1047_TAI_FEA_XX.wav,fearful,unspecified,The airplane is almost full,1047
1064_TAI_ANG_XX.wav,anger,unspecified,The airplane is almost full,1064
1030_TSI_HAP_XX.wav,happy,unspecified,The surface is slick,1030
1004_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1004
1018_ITH_FEA_XX.wav,fearful,unspecified,I think I have a doctor's appointment,1018
1017_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1017
1052_MTI_DIS_XX.wav,disgust,unspecified,Maybe tomorrow it will be cold,1052
1090_DFA_DIS_XX.wav,disgust,unspecified,Don't forget a jacket,1090
1070_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1070
1078_IWL_FEA_XX.wav,fearful,unspecified,I would like a new alarm clock,1078
1078_DFA_ANG_XX.wav,anger,unspecified,Don't forget a jacket,1078
1001_IEO_NEU_XX.wav,neutral,unspecified,It's eleven o'clock,1001
1036_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1036
1033_DFA_DIS_XX.wav,disgust,unspecified,Don't forget a jacket,1033
1065_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1065
1073_MTI_FEA_XX.wav,fearful,unspecified,Maybe tomorrow it will be cold,1073
1004_DFA_DIS_XX.wav,disgust,unspecified,Don't forget a jacket,1004
1080_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1080
1046_TSI_FEA_XX.wav,fearful,unspecified,The surface is slick,1046
1081_WSI_HAP_XX.wav,happy,unspecified,We'll stop in a couple of minutes,1081
1065_DFA_NEU_XX.wav,neutral,unspecified,Don't forget a jacket,1065
1054_TIE_HAP_XX.wav,happy,unspecified,That is exactly what happened,1054
1018_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1018
1018_TAI_ANG_XX.wav,anger,unspecified,The airplane is almost full,1018
1067_IEO_DIS_HI.wav,disgust,high,It's eleven o'clock,1067
1011_IOM_SAD_XX.wav,sad,unspecified,I'm on my way to the meeting,1011
1059_IOM_DIS_XX.wav,disgust,unspecified,I'm on my way to the meeting,1059
1082_IOM_FEA_XX.wav,fearful,unspecified,I'm on my way to the meeting,1082
1015_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1015
1057_IWL_DIS_XX.wav,disgust,unspecified,I would like a new alarm clock,1057
1071_ITH_DIS_XX.wav,disgust,unspecified,I think I have a doctor's appointment,1071
1023_WSI_FEA_XX.wav,fearful,unspecified,We'll stop in a couple of minutes,1023
1058_IEO_FEA_HI.wav,fearful,high,It's eleven o'clock,1058
1031_TIE_SAD_XX.wav,sad,unspecified,That is exactly what happened,1031
1035_TIE_HAP_XX.wav,happy,unspecified,That is exactly what happened,1035
1041_WSI_ANG_XX.wav,anger,unspecified,We'll stop in a couple of minutes,1041
1053_IWW_HAP_XX.wav,happy,unspecified,I wonder what this is about,1053
1033_IEO_SAD_HI.wav,sad,high,It's eleven o'clock,1033
1010_TIE_HAP_XX.wav,happy,unspecified,That is exactly what happened,1010
1086_MTI_SAD_XX.wav,sad,unspecified,Maybe tomorrow it will be cold,1086
1076_IWW_FEA_XX.wav,fearful,unspecified,I wonder what this is about,1076
1046_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1046
1044_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1044
1044_DFA_NEU_XX.wav,neutral,unspecified,Don't forget a jacket,1044
1046_TSI_SAD_XX.wav,sad,unspecified,The surface is slick,1046
1024_TAI_ANG_XX.wav,anger,unspecified,The airplane is almost full,1024
1040_TSI_SAD_XX.wav,sad,unspecified,The surface is slick,1040
1082_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1082
1037_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1037
1062_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1062
1066_TSI_DIS_XX.wav,disgust,unspecified,The surface is slick,1066
1005_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1005
1058_DFA_FEA_XX.wav,fearful,unspecified,Don't forget a jacket,1058
1056_IWL_HAP_XX.wav,happy,unspecified,I would like a new alarm clock,1056
1032_IWL_HAP_XX.wav,happy,unspecified,I would like a new alarm clock,1032
1039_TSI_SAD_XX.wav,sad,unspecified,The surface is slick,1039
1091_ITH_ANG_XX.wav,anger,unspecified,I think I have a doctor's appointment,1091
1043_IOM_FEA_XX.wav,fearful,unspecified,I'm on my way to the meeting,1043
1020_ITH_ANG_XX.wav,anger,unspecified,I think I have a doctor's appointment,1020
1069_TSI_HAP_XX.wav,happy,unspecified,The surface is slick,1069
1024_DFA_SAD_XX.wav,sad,unspecified,Don't forget a jacket,1024
1073_ITH_FEA_XX.wav,fearful,unspecified,I think I have a doctor's appointment,1073
1022_ITH_DIS_XX.wav,disgust,unspecified,I think I have a doctor's appointment,1022
1081_IWL_ANG_XX.wav,anger,unspecified,I would like a new alarm clock,1081
1033_IWL_SAD_XX.wav,sad,unspecified,I would like a new alarm clock,1033
1002_TSI_DIS_XX.wav,disgust,unspecified,The surface is slick,1002
1082_ITH_NEU_XX.wav,neutral,unspecified,I think I have a doctor's appointment,1082
1038_WSI_FEA_XX.wav,fearful,unspecified,We'll stop in a couple of minutes,1038
1014_IOM_NEU_XX.wav,neutral,unspecified,I'm on my way to the meeting,1014
1020_DFA_NEU_XX.wav,neutral,unspecified,Don't forget a jacket,1020
1058_WSI_SAD_XX.wav,sad,unspecified,We'll stop in a couple of minutes,1058
1050_MTI_NEU_XX.wav,neutral,unspecified,Maybe tomorrow it will be cold,1050
1065_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1065
1059_ITS_DIS_XX.wav,disgust,unspecified,I think I've seen this before,1059
1062_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1062
1021_MTI_HAP_XX.wav,happy,unspecified,Maybe tomorrow it will be cold,1021
1001_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1001
1024_TAI_SAD_XX.wav,sad,unspecified,The airplane is almost full,1024
1029_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1029
1072_TAI_SAD_XX.wav,sad,unspecified,The airplane is almost full,1072
1070_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1070
1004_IOM_HAP_XX.wav,happy,unspecified,I'm on my way to the meeting,1004
1059_ITH_ANG_XX.wav,anger,unspecified,I think I have a doctor's appointment,1059
1070_MTI_SAD_XX.wav,sad,unspecified,Maybe tomorrow it will be cold,1070
